frame,a,b,ball,ball_possession
1,,,[     611.47      187.58],
2,,,[     611.47      187.58],
3,,,[     611.47      187.58],
4,,,[     611.47      187.58],
5,,,[     611.47      187.58],
6,,,[     611.48      186.38],
7,,,[     611.48      186.38],
8,,,[     611.48      186.38],
9,,,[     611.48      186.38],
10,,,[     611.47      187.58],
11,,,[     611.48      186.38],
12,,,[     611.48      186.38],
13,,,[     611.48      186.38],
14,,,[     611.47      187.58],
15,,,[     611.47      187.58],
16,,,[     611.47      187.58],
17,,,[     611.47      187.58],
18,,,[     611.47      187.58],
19,,,[     611.47      187.58],
20,,,[     611.47      187.58],
21,,,[     611.47      187.58],
22,,,[     611.47      187.58],
23,,,[     611.47      187.58],
24,,,[     611.47      187.58],
25,,,[     611.47      187.58],
26,,,[     611.47      187.58],
27,,,[     611.47      187.58],
28,,,[     611.47      187.58],
29,,,[     611.47      187.58],
30,,,[     611.47      187.58],
31,,,[     611.47      187.58],
32,,,[     611.47      187.58],
33,,[     503.34      514.25],[     611.47      187.58],
34,,[     503.48       512.4],[     611.47      187.58],
35,,[     504.48      514.14],[     611.47      187.58],
36,,[     505.55      516.47],[     611.47      187.58],
37,,[     505.47      515.87],[     611.47      187.58],
38,,[     507.79      520.47],[     611.47      187.58],
39,,[     507.86      521.06],[     611.47      187.58],
40,,[     508.31      512.55],[     611.47      187.58],
41,,[     508.76      510.05],[     611.47      187.58],
42,,[     511.11      510.44],[     611.47      187.58],
43,,[     511.11      510.44],[     611.47      187.58],
44,,[     511.26      511.65],[     611.47      187.58],
45,,[     511.37      511.03],[     611.47      187.58],
46,,[     511.37      511.03],[     611.47      187.58],
47,,[     511.56      511.01],[     611.47      187.58],
48,,[     511.83      511.59],[     611.47      187.58],
49,,[     511.64      511.61],[     611.47      187.58],
50,,[     511.14      512.27],[     611.47      187.58],
51,,[     509.94      511.78],[     611.47      187.58],
52,,[     509.37      511.83],[     611.47      187.58],
53,,[     509.06      512.47],[     611.47      187.58],
54,,[     509.52      516.08],[     611.47      187.58],
55,,[     509.52      516.08],[     611.47      187.58],
56,,[     509.44      515.48],[     611.47      187.58],
57,,[     509.44      512.44],[     611.47      187.58],
58,,[     509.44      512.44],[     611.47      187.58],
59,,[     510.08      512.98],[     611.47      187.58],
60,,[     510.81      511.08],[     611.47      187.58],
61,,[     510.88      511.69],[     611.47      187.58],
62,,[     511.52      512.23],[     611.47      187.58],
63,,[     512.45      515.19],[     611.47      187.58],
64,,[     513.09      515.73],[     611.47      187.58],
65,,[     513.84      515.65],[     611.47      187.58],
66,,[     515.31      513.69],[     611.47      187.58],
67,,[     515.31      513.69],[     611.47      187.58],
68,,[     516.53      515.99],[     611.47      187.58],
69,,[     517.77      515.27],[     611.47      187.58],
70,,[     517.77      515.27],[     611.47      187.58],
71,,[     518.94      513.94],[     611.47      187.58],
