frame,a,b,ball,ball_possession
1,,,,
2,,[     456.21      198.65],,
3,,[     481.13      353.18],,
4,,,,
5,,[     481.84      353.16],,
6,,[      480.4      349.55],,
7,,[     523.32      352.43],,
8,,,,
9,,,,
10,,,,
11,,[     523.55      352.42],,
12,,,,
13,,,,
14,,[     522.87      352.44],,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,[     522.42      352.44],,
27,,[     521.29      352.46],,
28,,[     522.87      352.44],,
29,,[      523.1      352.43],,
30,,[     521.97      352.45],,
31,,[     519.25       352.5],,
32,,[     521.74      352.46],,
33,,[     518.79      352.51],,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,[     521.97      352.45],,
58,,[     522.19      352.45],,
59,,,,
60,,,,
61,,[     522.42      352.44],,
62,,,,
63,,,,
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
69,,,,
70,,,,
71,,[     522.42      352.44],,
72,,,,
73,,,,
74,,,,
75,,[     522.19      352.45],,
76,,[     521.97      352.45],,
77,,,,
78,,[     521.74      352.46],,
79,,,,
80,,,,
81,,[     521.51      352.46],,
82,,[     520.61      352.48],,
83,,[     521.29      352.46],,
84,,[     521.97      352.45],,
85,,[     521.51      352.46],,
86,,[     521.29      352.46],,
87,,[     520.83      352.47],,
88,,[     518.11      352.52],,
89,,,,
90,,,,
91,,[     520.61      352.48],,
92,,[     520.83      352.47],,
93,,[     521.06      352.47],,
94,,[     521.29      352.46],,
95,,[     520.38      352.48],,
96,,[     520.83      352.47],,
97,,,,
98,,[     521.74      352.46],,
99,,,,
100,,,,
101,,[     522.42      352.44],,
102,,[     521.74      352.46],,
103,,[     522.19      352.45],,
104,,[     521.51      352.46],,
105,,[     521.51      352.46],,
106,,,,
107,,[     521.06      352.47],,
108,,[     521.74      352.46],,
109,,,,
110,,,,
111,,[     520.15      352.48],,
112,,,,
113,,[     518.79      352.51],,
114,,[     519.25       352.5],,
115,,,,
116,,,,
117,,[     519.93      352.49],,
118,,,,
119,,,,
120,,[     521.97      352.45],,
121,,,,
122,,,,
123,,[     521.29      352.46],,
124,,[      519.7      352.49],,
125,,,,
126,,,,
127,,,,
128,,,,
129,,,,
130,,,,
131,,,,
132,,,,
133,,,,
134,,,,
135,,,,
136,,,,
137,,[     481.13      353.18],,
138,,[      480.4      349.55],,
139,,[     481.11      349.53],,
140,,[     480.64      349.54],,
141,,[     521.74      352.46],,
142,,[      481.6      353.17],,
143,,[     480.17      349.55],,
144,,[     481.13      353.18],,
145,,[     481.36      353.17],,
146,,[      481.6      353.17],,
147,,[     481.36      353.17],,
148,,,,
149,,[     481.13      353.18],,
150,,[     481.36      353.17],,
151,,,,
152,,[     481.36      353.17],,
153,,[     481.36      353.17],,
154,,[     481.24      352.27],,
155,,,,
156,,,,
157,,,,
158,,[     481.36      353.17],,
159,,[     480.17      349.55],,
160,,[     481.13      353.18],,
161,,[     481.36      353.17],,
162,,[     480.89      353.18],,
163,,[     481.13      353.18],,
164,,[     481.36      353.17],,
165,,[     480.89      353.18],,
166,,,,
167,,[     481.13      353.18],,
168,,,,
169,,,,
170,,[     481.36      353.17],,
171,,[     481.36      353.17],,
172,,[      480.4      349.55],,
173,,[     481.13      353.18],,
174,,[     481.13      353.18],,
175,,[     481.36      353.17],,
176,,[     480.89      353.18],,
177,,[     481.36      353.17],,
178,,[     481.13      353.18],,
179,,[     481.36      353.17],,
180,,[     481.13      353.18],,
181,,[     481.13      353.18],,
182,,[     480.88      349.54],,
183,,[     480.64      349.54],,
184,,[     480.06      350.46],,
185,,[     480.17      349.55],,
186,,[     480.88      349.54],,
187,,[     481.36      353.17],,
188,,,,
189,,[      480.4      349.55],,
190,,[     481.35      349.53],,
191,,[     480.64      349.54],,
192,,,,
193,,,,
194,,[     481.24      350.45],,
195,,[     480.88      349.54],,
196,,[     480.29      350.46],,
197,,[      480.4      349.55],,
198,,[     480.76      350.45],,
199,,,,
200,,,,
201,,[     480.17      349.55],,
202,,,,
203,,,,
204,,[     481.13      353.18],,
205,,,,
206,,,,
207,,[     480.17      349.55],,
208,,[      480.4      349.55],,
209,,[     480.29      350.46],,
210,,[     480.53      350.46],,
211,,[     481.13      353.18],,
212,,[     480.89      353.18],,
213,,,,
214,,[     480.64      349.54],,
215,,,,
216,,[      479.7      349.56],,
217,,[     480.88      349.54],,
218,,,,
219,,,,
220,,,,
221,,[     480.53      350.46],,
222,,[     480.88      349.54],,
223,,[     479.58      350.47],,
224,,,,
225,,[     480.64      349.54],,
226,,[     480.17      349.55],,
227,,,,
228,,[     480.76      350.45],,
229,,,,
230,,,,
231,,,,
232,,,,
233,,[     480.53      350.46],,
234,,,,
235,,[     480.89      353.18],,
236,,[     481.36      353.17],,
237,,[     480.64      349.54],,
238,,[     481.24      352.27],,
239,,[     481.36      353.17],,
240,,[     481.36      353.17],,
241,,[     481.36      353.17],,
242,,,,
243,,,,
244,,[        481      350.45],,
245,,,,
246,,[     481.36      353.17],,
247,,[     481.13      353.18],,
248,,[     480.64      349.54],,
249,,,,
250,,[     479.93      349.55],,
251,,,,
252,,,,
253,,[      481.6      353.17],,
254,,,,
255,,,,
256,,[     480.88      349.54],,
257,,[     481.36      353.17],,
258,,[     480.76      350.45],,
259,,,,
260,,[     480.76      350.45],,
261,,[     480.76      350.45],,
262,,[     479.93      349.55],,
263,,,,
264,,[     480.06      350.46],,
265,,[     480.06      350.46],,
266,,,,
267,,[     481.01      352.27],,
268,,[     520.61      352.48],,
269,,,,
270,,,,
271,,,,
272,,[     481.24      350.45],,
273,,[     520.38      352.48],,
274,,[     480.17      349.55],,
275,,,,
276,,[     480.76      350.45],,
277,,[        481      350.45],,
278,,[     480.64      349.54],,
279,,,,
280,,[        481      350.45],,
281,,[     480.76      350.45],,
282,,[     481.24      350.45],,
283,,[     481.13      353.18],,
284,,[     480.53      350.46],,
285,,,,
286,,,,
287,,[     479.58      350.47],,
288,,[     481.36      353.17],,
289,,[     480.89      353.18],,
290,,[        481      350.45],,
291,,,,
292,,[     480.76      350.45],,
293,,,,
294,,,,
295,,,,
296,,[     480.53      350.46],,
297,,[     480.64      349.54],,
298,,,,
299,,,,
300,,[     480.29      350.46],,
301,,[     481.13      353.18],,
302,,,,
303,,[     480.53      350.46],,
304,,[     480.29      350.46],,
305,,[     480.88      349.54],,
306,,[     481.13      353.18],,
307,,[        481      350.45],,
308,,,,
309,,[     481.13      353.18],,
310,,[     480.17      349.55],,
311,,[      480.4      349.55],,
312,,,,
313,,[     480.76      350.45],,
314,,,,
315,,[     481.01      352.27],,
316,,[      480.4      349.55],,
317,,,,
318,,,,
319,,[     480.66      353.19],,
320,,[      480.4      349.55],,
321,,,,
322,,,,
323,,,,
324,,,,
325,,[     480.17      349.55],,
326,,,,
327,,[      479.7      349.56],,
328,,,,
329,,[      480.4      349.55],,
330,,[     480.88      349.54],,
331,,,,
332,,,,
333,,[     480.29      350.46],,
334,,,,
335,,,,
336,,,,
337,,[     480.06      350.46],,
338,,,,
339,,,,
340,,[      480.4      349.55],,
341,,[     480.29      350.46],,
342,,[        481      350.45],,
343,,,,
344,,[     481.13      353.18],,
345,,,,
346,,[     480.77      352.27],,
347,,[     481.36      353.17],,
348,,,,
349,,[     480.06      350.46],,
350,,[     480.29      350.46],,
351,,[     480.89      353.18],,
352,,[     479.58      350.47],,
353,,[     480.29      350.46],,
354,,[     481.24      352.27],,
355,,,,
356,,[     481.13      353.18],,
357,,,,
358,,,,
359,,,,
360,,[     480.76      350.45],,
361,,[        481      350.45],,
362,,,,
363,,[     480.89      353.18],,
364,,,,
365,,[     479.82      350.47],,
366,,[     480.53      350.46],,
367,,[     479.82      350.47],,
368,,[     480.06      350.46],,
369,,,,
370,,,,
371,,,,
372,,,,
373,,,,
374,,[     481.59      351.35],,
375,,,,
376,,[     480.29      350.46],,
377,,[     480.89      353.18],,
378,,,,
379,,[     480.64      349.54],,
380,,[     481.01      352.27],,
381,,,,
382,,[     481.59      351.35],,
383,,,,
384,,[     481.13      353.18],,
385,,,,
386,,,,
387,,,,
388,,[     480.64      349.54],,
389,,[     480.53      350.46],,
390,,[     520.15      352.48],,
391,,,,
392,,,,
393,,[      480.4      349.55],,
394,,,,
395,,[        481      350.45],,
396,,,,
397,,[     480.53      350.46],,
398,,[     481.24      352.27],,
399,,,,
400,,,,
401,,,,
402,,[     480.89      353.18],,
403,,[     480.64      349.54],,
404,,[      480.4      349.55],,
405,,[     481.36      353.17],,
406,,[      480.4      349.55],,
407,,[     480.88      349.54],,
408,,[     480.29      350.46],,
409,,,,
410,,[     481.13      353.18],,
411,,[      481.6      353.17],,
412,,[     519.25       352.5],,
413,,[     520.15      352.48],,
414,,,,
415,,,,
416,,[      480.4      349.55],,
417,,,,
418,,,,
419,,[     481.36      353.17],,
420,,,,
421,,,,
422,,[     456.03      197.39],,
423,,,,
424,,,,
425,,,,
426,,[     481.36      353.17],,
427,,,,
428,,[     480.89      353.18],,
429,,,,
430,,,,
431,,[     480.64      349.54],,
432,,[      480.4      349.55],,
433,,[     481.13      353.18],,
434,,,,
435,,,,
436,,[     480.17      349.55],,
437,,[     481.13      353.18],,
438,,[     480.17      349.55],,
439,,[      480.4      349.55],,
440,,[     479.93      349.55],,
441,,[     479.93      349.55],,
442,,,,
443,,,,
444,,[     479.58      350.47],,
445,,[     480.89      353.18],,
446,,[     480.89      353.18],,
447,,[     480.89      353.18],,
448,,[     455.69      194.87],,
449,,,,
450,,[     481.36      353.17],,
451,,[     480.89      353.18],,
452,,[      480.4      349.55],,
453,,,,
454,,[     481.13      353.18],,
455,,,,
456,,[     519.93      352.49],,
457,,[     520.15      352.48],,
458,,,,
459,,,,
460,,[     480.64      349.54],,
461,,[     481.36      353.17],,
462,,[     521.51      352.46],,
463,,[     481.13      353.18],,
464,,[     481.13      353.18],,
465,,[      480.4      349.55],,
466,,[      479.7      349.56],,
467,,[     480.66      353.19],,
468,,[     481.13      353.18],,
469,,,,
470,,[     481.13      353.18],,
471,,[     481.13      353.18],,
472,,[     481.13      353.18],,
473,,[     481.36      353.17],,
474,,[     480.66      353.19],,
475,,[     480.17      349.55],,
476,,[     481.36      353.17],,
477,,[      481.6      353.17],,
478,,[     480.89      353.18],,
479,,[     481.36      353.17],,
480,,[     481.13      353.18],,
481,,[     481.36      353.17],,
482,,[     481.13      353.18],,
483,,[      481.6      353.17],,
484,,[     480.88      349.54],,
485,,,,
486,,[     481.13      353.18],,
487,,[      480.4      349.55],,
488,,[     481.13      353.18],,
489,,,,
490,,[     481.36      353.17],,
491,,[     480.88      349.54],,
492,,[     480.17      349.55],,
493,,,,
494,,,,
495,,,,
496,,[     482.31      353.16],,
497,,[     482.19      352.25],,
498,,[     482.42      352.25],,
499,,[     482.07      353.16],,
